codpanelista2,wave,sex,age,education,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,immigeco,immicult,polintr,constpref,populisma,populismd,populismf,populismi,populismj,populismn,lrself,femstrike,femdemonstrate,feminfo,femtalk,vote2016,voteintentionspain,hhincome,livingpartner,indeprespect,curiosmanners,selfconfobed,empathybehave
3893,12,1,40,4,1,5,1,1,1,5,5,1,1,8,0,1,5,7,1,6,5,7,4,0,1,2,2,1,,5,2,1,1,1,2,1
3894,10,2,25,10,1,6,1,1,3,7,7,1,1,7,8,2,4,6,4,5,5,6,7,2,1,1,1,1,3,3,8,1,2,1,2,1
3895,10,2,32,1,4,4,4,4,4,4,4,4,4,10,10,3,1,7,4,4,4,4,7,10,1,2,2,2,56,54,99,1,2,2,2,2
3895,11,2,33,3,1,7,7,1,1,7,7,5,7,0,10,3,2,4,4,4,4,4,7,5,2,2,2,2,,54,99,1,2,2,2,2
3895,12,2,34,1,4,4,4,4,4,4,4,4,4,0,0,4,3,7,5,6,7,6,7,5,2,2,2,2,,55,1,0,2,2,1,1
3896,10,2,22,6,5,4,5,4,4,4,5,4,4,5,5,3,3,7,5,1,5,6,7,5,2,2,2,1,1,1,4,0,2,2,1,2
3896,11,2,23,6,1,7,4,1,2,6,7,5,1,7,7,2,3,7,6,6,7,7,7,5,1,1,1,1,,1,5,0,2,2,2,2
3896,12,2,24,6,7,4,5,7,7,7,7,7,7,5,5,2,1,6,6,7,5,7,6,5,2,2,1,1,,1,5,0,2,2,2,2
3897,10,1,37,1,1,7,1,1,1,7,6,1,1,0,0,3,3,7,7,7,7,7,7,0,2,2,2,2,,50,8,1,2,2,2,2
3898,10,2,45,10,1,1,1,1,1,7,7,1,1,5,4,2,5,6,3,5,5,6,7,1,2,1,1,1,50,51,7,1,1,1,2,1
3898,11,2,46,10,1,6,1,2,2,3,6,4,1,5,5,2,5,6,2,4,4,5,7,2,1,1,1,1,,50,99,1,2,2,2,1
3899,10,1,23,1,7,7,7,7,7,7,7,7,7,10,10,1,4,7,7,7,7,7,7,10,1,1,1,1,2,2,99,0,2,2,1,2
3900,10,1,42,10,2,1,4,1,2,4,5,5,2,8,6,2,3,6,3,6,6,7,5,5,1,1,1,1,1,4,99,1,2,2,2,2
3900,11,1,43,10,3,6,4,2,2,4,6,2,3,8,6,3,3,7,2,5,6,5,5,5,2,2,2,2,,1,99,1,2,2,1,2
3901,10,1,31,8,3,3,2,5,3,4,3,5,3,5,2,1,2,6,5,5,4,3,6,3,2,2,2,2,1,1,9,1,2,1,2,1
3901,12,1,33,8,3,5,4,3,4,4,3,2,3,7,2,2,3,5,6,5,3,3,5,3,2,2,2,1,,1,9,1,2,1,1,2
3902,10,2,23,8,2,5,7,3,3,7,6,5,2,5,3,3,3,5,2,2,1,6,7,5,1,1,1,1,1,1,99,0,2,2,2,1
3902,11,2,24,9,2,3,3,3,3,5,5,4,2,5,3,3,4,4,3,4,3,5,5,6,1,1,2,1,,1,99,0,2,2,2,1
3902,12,2,25,9,2,5,3,2,2,6,6,6,2,6,3,3,4,4,4,4,1,5,6,3,2,2,2,2,,55,5,0,2,2,2,2
3903,10,2,21,4,1,1,1,1,1,1,1,1,1,0,0,3,1,4,2,5,6,5,7,2,2,2,2,1,,52,3,0,1,2,2,1
3904,10,2,26,10,1,7,1,1,3,6,7,4,1,7,4,2,3,5,5,6,3,5,6,6,2,2,1,1,56,4,9,0,2,1,2,1
